Year,X,Y,Z
2018,356003.4409,4065487.661,263.1604004
2018,356102.381,4065502.182,253.8798523
2018,356201.321,4065516.703,265.2390747
2018,356300.2611,4065531.224,267.5874634
2018,356399.2011,4065545.745,280.1196594
2018,356498.1412,4065560.267,284.9847412
2018,356597.0812,4065574.788,286.1074829
2018,356625.0273,4065578.89,287
2018,353729.4215,4065052.897,295
2018,353828.3637,4065067.403,299.7260132
2018,353927.3059,4065081.91,293.9555969
2018,354026.2481,4065096.416,266.984314
2018,354125.1903,4065110.923,256.008606
2018,354224.1325,4065125.43,255.083374
2018,354323.0747,4065139.936,252.2745819
2018,354422.0169,4065154.443,245.8789215
2018,354520.9592,4065168.949,238.470932
2018,354619.9014,4065183.456,237.8972168
2018,354718.8436,4065197.962,237.7367096
2018,354817.7858,4065212.469,237.2090302
2018,354916.728,4065226.976,237.1140442
2018,355015.6702,4065241.482,237.3049774
2018,355114.6124,4065255.989,237.4224091
2018,355213.5546,4065270.495,237.5158539
2018,355312.4968,4065285.002,237.5694427
2018,355411.439,4065299.508,237.2129059
2018,355510.3812,4065314.015,237.1870728
